Survey Name RA Dec
AUXTEL_DRP_IMAGING SPT-CL-J0559-5249_056 06:01:33.65 -52:38:16.25
AUXTEL_DRP_IMAGING SPT-CL-J0559-5249_057 05:57:13.51 -52:32:37.76
AUXTEL_DRP_IMAGING SPT-CL-J0559-5249_058 05:57:50.64 -52:32:37.76
AUXTEL_DRP_IMAGING SPT-CL-J0559-5249_059 05:58:27.77 -52:32:37.76
AUXTEL_DRP_IMAGING SPT-CL-J0559-5249_060 05:59:04.89 -52:32:37.76
AUXTEL_DRP_IMAGING SPT-CL-J0559-5249_061 05:59:42.02 -52:32:37.76
AUXTEL_DRP_IMAGING SPT-CL-J0559-5249_062 06:00:19.15 -52:32:37.76
AUXTEL_DRP_IMAGING SPT-CL-J0559-5249_063 06:00:56.28 -52:32:37.76
AUXTEL_DRP_IMAGING SPT-CL-J0559-5249_064 06:01:33.41 -52:32:37.76
AUXTEL_DRP_IMAGING SDSS-J081508_001 08:13:37.86 +07:09:12.20
AUXTEL_DRP_IMAGING SDSS-J081508_002 08:14:00.59 +07:09:12.20
AUXTEL_DRP_IMAGING SDSS-J081508_003 08:14:23.32 +07:09:12.20
AUXTEL_DRP_IMAGING SDSS-J081508_004 08:14:46.05 +07:09:12.20
AUXTEL_DRP_IMAGING SDSS-J081508_005 08:15:08.78 +07:09:12.20
AUXTEL_DRP_IMAGING SDSS-J081508_006 08:15:31.51 +07:09:12.20
AUXTEL_DRP_IMAGING SDSS-J081508_007 08:15:54.24 +07:09:12.20
AUXTEL_DRP_IMAGING SDSS-J081508_008 08:16:16.97 +07:09:12.20
AUXTEL_DRP_IMAGING SDSS-J081508_009 08:13:37.83 +07:14:50.60
AUXTEL_DRP_IMAGING SDSS-J081508_010 08:14:00.57 +07:14:50.60
AUXTEL_DRP_IMAGING SDSS-J081508_011 08:14:23.31 +07:14:50.60
AUXTEL_DRP_IMAGING SDSS-J081508_012 08:14:46.04 +07:14:50.60
AUXTEL_DRP_IMAGING SDSS-J081508_013 08:15:08.78 +07:14:50.60
AUXTEL_DRP_IMAGING SDSS-J081508_014 08:15:31.52 +07:14:50.60
AUXTEL_DRP_IMAGING SDSS-J081508_015 08:15:54.25 +07:14:50.60
AUXTEL_DRP_IMAGING SDSS-J081508_016 08:16:16.99 +07:14:50.60
AUXTEL_DRP_IMAGING SDSS-J081508_017 08:13:37.81 +07:20:28.99
AUXTEL_DRP_IMAGING SDSS-J081508_018 08:14:00.55 +07:20:28.99
